gъ̀rdlo	bcs	gȑlo	ɡr̂lo		IN_WIKTIONARY		
gъ̑rdъ	bcs	gȓd	ɡr̂ːd		IN_WIKTIONARY		
gъ̑rstь	bcs	gȓst	ɡr̩̂ːst		IN_WIKTIONARY		
i	bcs	i	i	i	SAME		
jùgъ	bcs	jȕg	jûɡ		IN_WIKTIONARY		
jȗnъ	bcs	jun	jun	jun	SAME		
jūxà	bcs	júha	jǔːxa		IN_WIKTIONARY		
jьgrati	bcs	ìgrati	ǐɡrati				
jьgъlà	bcs	ìgla	ǐɡla		IN_WIKTIONARY		
jьlъ	bcs	il	il	il	SAME		
jьmàti	bcs	ìmati	ǐmati		IN_WIKTIONARY		
jьměti	bcs	imjeti	imjeti	imjeti	SAME		
jьmę	bcs	ȉme	îme		IN_WIKTIONARY		
jьnogъ	bcs	ineg	ˈineɡ	ineɡ	DIFFERENT	2	
jь̑go	bcs	igo	ˈiɡo	iɡo	DIFFERENT	2	
kadìdlo	bcs	kàdilo	kǎdilo		IN_WIKTIONARY		
kakъ	bcs	kàkī	kǎkiː				
kaliti	bcs	káliti	kǎːliti		IN_WIKTIONARY		
kamy	bcs	kȁmēn	kâmeːn		IN_WIKTIONARY		
kara	bcs	kára	kǎːra				
karati	bcs	kárati	kǎːrati		IN_WIKTIONARY		
kasati	bcs	kȁsati	kâsati		IN_WIKTIONARY		
kazati	bcs	kázati	kǎːzati		IN_WIKTIONARY		
kaziti	bcs	kazíti	kazǐːti				
kaznь	bcs	kȃzn	kâːzn				
kašl̨ati	bcs	kàšljati	kǎʃʎati		IN_WIKTIONARY		
kašlь	bcs	kȁšalj	kâʃaʎ				
kašьl̨ati	bcs	kàšljati	kǎʃʎati		IN_WIKTIONARY		
kašьlь	bcs	kȁšalj	kâʃaʎ				
kàjati	bcs	kȁjati	kâjati		IN_WIKTIONARY		
kȃlъ	bcs	kȃl	kâːl		IN_WIKTIONARY		
klasti	bcs	klȁsti	klâsti				
