tryti	church_slavic	tryti	trɨti
tỳlъ	church_slavic	tylъ	tɨlʊ
tỳti	church_slavic	tyti	tɨti
vedrъ	church_slavic	vedrъ	vɛdrʊ
velьjь	church_slavic	velii	vɛlii
vertenò	church_slavic	vrěteno	vrætɛnɔ
vozìti sę	church_slavic	voziti sę	vɔziti sɛ̃
vòrna	church_slavic	vrana	vrana
vȏrnъ	church_slavic	vranъ	vranʊ
vypь	church_slavic	vyplʹь	vɨpʎɪ
xabiti	church_slavic	xabiti	xabiti
xlębь	church_slavic	xljabь	xʎabɪ
xlǫdъ	church_slavic	xlǫdъ	xlɔ̃dʊ
xomǫtъ	church_slavic	xomǫtъ	xɔmɔ̃tʊ
xorna	church_slavic	xrana	xrana
xoxotati	church_slavic	xoxotati	xɔxɔtati
xvorstьje	church_slavic	xvrastije	xvrastijɛ
xvorъ	church_slavic	xvorъ	xvɔrʊ
xvórstъ	church_slavic	xvrastъ	xvrastʊ
zěvati	church_slavic	zěvati	zævati
znàmę	church_slavic	znamę	znamɛ̃
zъly	church_slavic	zlъva	zlʊva
zьrěti	church_slavic	zьrěti	zɪræti
čara	church_slavic	čara	t͡ʃara
čekati	church_slavic	čekati	t͡ʃɛkati
čelesьnъjь	church_slavic	čelesьnyj	t͡ʃɛlɛsɪnɨj
čelesьnъjьjь	church_slavic	čelesьnyj	t͡ʃɛlɛsɪnɨj
čerdìti	church_slavic	črěditi	t͡ʃræditi
černovitъ	church_slavic	črěnovitъ	t͡ʃrænɔvitʊ
černъ	church_slavic	črěnъ	t͡ʃrænʊ
občersti	church_slavic	očrěsti	ɔt͡ʃræsti
čȇrpъ	church_slavic	črěpъ	t͡ʃræpʊ
čędь	church_slavic	čadь	t͡ʃadɪ
či	church_slavic	či	t͡ʃi
čùti	church_slavic	čuti	t͡ʃuti
čьrmьnovati	church_slavic	čermnovatʹsja	t͡ʃɛrmnɔvatʹsja
čьrstvъ	church_slavic	črьstvъ	t͡ʃrɪstvʊ
ę̄trò	church_slavic	jatro	jatrɔ
šìti	church_slavic	šiti	ʃiti
šurь	church_slavic	šurь	ʃurɪ
ščenę	church_slavic	štenę	ʃtɛnɛ̃
žasiti	church_slavic	žasiti	ʒasiti
želěti	church_slavic	želěti	ʒɛlæti
želǫdъkъ	church_slavic	želudъkъ	ʒɛludʊkʊ
žely	church_slavic	žely	ʒɛlɨ
želza	church_slavic	žlěza	ʒlæza
žel̨a	church_slavic	žel̨a	ʒɛl̨a
žeravъ	church_slavic	žeravъ	ʒɛravʊ
žȅlǫdь	church_slavic	želudь	ʒɛludɪ
žęti	church_slavic	žęti	ʒɛ̃ti
židъkъ	church_slavic	židъkъ	ʒidʊkʊ
žьvàti	church_slavic	žьvati	ʒɪvati
àblonь	church_slavic	ablanь	ablanɪ
basnь	church_slavic	basnь	basnɪ
bebrъ	church_slavic	bebrъ	bɛbrʊ
bedrò	church_slavic	bedro	bɛdrɔ
bel(e)nъ	church_slavic	belenъ	bɛlɛnʊ
blizъkъ	church_slavic	blizъ	blizʊ
brъsnǫti	church_slavic	brъsnuti	brʊsnuti
dęgъ	church_slavic	djagъ	djagʊ
dvogubъjь	church_slavic	dvogubyj	dvɔgubɨj
emešь	church_slavic	lemešь	lɛmɛʃɪ
ězъ	church_slavic	ězъ	æzʊ
ěra	church_slavic	jara	jara
glezna	church_slavic	glezna	glɛzna
glěnъ	church_slavic	glěnъ	glænʊ
glumъ	church_slavic	glumъ	glumʊ
gomola	church_slavic	gomola	gɔmɔla
gorno	church_slavic	granъ	granʊ
gǫgnati	church_slavic	gugnati	gugnati
gruda	church_slavic	gruda	gruda
gъrbъ	church_slavic	grobъ	grɔbʊ
gъrno	church_slavic	grъno	grʊnɔ
jьgra	church_slavic	igra	igra
jьkrà	church_slavic	ikra	ikra
klegota	church_slavic	klegota	klɛgɔta
kotera	church_slavic	kotera	kɔtɛra
košer̨a	church_slavic	košerja	kɔʃɛrʲa
krъxa	church_slavic	krъxa	krʊxa
lędvьje	church_slavic	lędvije	lɛ̃dvijɛ
libavъ	church_slavic	libavъ	libavʊ
pomavati	church_slavic	pomavati	pɔmavati
mamiti	church_slavic	mamiti	mamiti
matorъ	church_slavic	matorъ	matɔrʊ
mȃzь	church_slavic	mazь	mazɪ
mě̀lъkъ	church_slavic	mělъkъ	mælʊkʊ
męzdra	church_slavic	męzdra	mɛ̃zdra
muzga	church_slavic	muzga	muzga
nicati	church_slavic	nicati	nit͡sati
nukati	church_slavic	nukati	nukati
nъně	church_slavic	nъně	nʊnæ
povorzъ	church_slavic	povrazъ	pɔvrazʊ
paznogъtь	church_slavic	paznogъtь	paznɔgʊtɪ
pǫgy	church_slavic	pǫgy	pɔ̃gɨ
pǫpъ	church_slavic	pupъ	pupʊ
pỳrъ	church_slavic	pyro	pɨrɔ
pьkъlъ	church_slavic	pьkъlъ	pɪkʊlʊ
sérnъ	church_slavic	srěnъ	srænʊ
sol(o)vikъ	church_slavic	slavii	slavii
sòrka	church_slavic	svraka	svraka
strъjь	church_slavic	strъi	strʊi
strьžьnь	church_slavic	strъžьnь	strʊʒɪnɪ
tesla	church_slavic	tesla	tɛsla
volděti	church_slavic	vladěti	vladæti
čersъ	church_slavic	črěsъ	t͡ʃræsʊ
želdica	church_slavic	žlědica	ʒlædit͡sa
