				corr.
cě̄lìti	slovene	cẹ́liti	t͡sèːliti	
ȇ̌dъ	slovene	jâd	jɛd	
ěxati	slovene	jȃhati	jáːxati	
osь̀lъ	slovene	ósǝɫ	ɔ̀ːsǝʊ	
slȍvo	slovene	slovọ̑	slɔʋóː	
pȏlzъ	slovene	plȃz	pláːs	
morvi	slovene	mrȃv	mráːʋ	
voliti	slovene	vóliti	ʋɔ̀ːliti	
glìna	slovene	glína	ɡlìːna	
čersъ	slovene	črẹ̀z	t͡ʃrèːs	
plěsnь	slovene	plẹ̑sǝn	pléːsǝn	
kogъda	slovene	kǝdá	kàːd	
toliti	slovene	tóliti	tɔ̀ːliti	
puxati	slovene	púhati	pùːxati	
l̨ȗdъ	slovene	ljȗd	ljúːt	
per	slovene	pre-	prɛ-	
jesìka	slovene	jesíka	jɛsìːka	
gъrbъ	slovene	gȓb	ɡə́rp	
prǫglo	slovene	prǫ́glọ	prò̝ːɡlo	
esètra	slovene	jesētǝr	jɛsɛ̀ːtər	
kъde	slovene	kjẹ́	kjèː	
žezlъ	slovene	žę́zlọ	ʒèːzlo	
remy	slovene	rémen	rɛ̀ːmɛn	
