				corr.
nekъto	slovene	nẹkdọ́	neɡdòː	
sòldъkъ	slovene	sládǝk	slàːtək	
lǭkà	slovene	lǫ́ka	lò̝ːka	
sě̀mę	slovene	sẹ́me	sèːmɛ	
pàǭkъ	slovene	pȃjǝk	páːjǝk	
sъdòrvъ	slovene	zdràv	zdràːʋ	
mirъ	slovene	mir	mir	
nozdr̨a	slovene	nǫ̑zdra	nó̝ːzdra	
nȇrstъ	slovene	mrẹ̑st	mréːst	
sèdmь	slovene	sę́dǝm	sè̝ːdəm	
okъnò	slovene	óknọ	ɔ̀ːkno	
ploskъ	slovene	plȏsk	plɔ́ːsk	
gatъ	slovene	gȃt	ɡáːt	
jьgrь	slovene	ígra	ìːɡra	
dvogubьnъ	slovene	dvogùb	dʋɔɡɔb	
pьcьlъ	slovene	pǝkǝ̀ɫ	pək	
davě	slovene	dávẹ	dàːʋe	
mъrmrati	slovene	mrmráti	mrmràːti	
vysòkъ	slovene	visòk	ʋisɔ́k	
olbǭtь	slovene	labǫ́d	labò̝ːt	
vỳgъn̨ь	slovene	vígǝnj	ʋìːɡən	
bě̄dà	slovene	bẹ́da	bèːda	
ȍpako	slovene	opȃk	ɔpáːk	
strǫkъ	slovene	stròk	strɔk	
materьstvo	slovene	máterstvo	màːtɛrstʋɔ	
ǫ́sъ	slovene	vǫ̑s	ʋó̝ːs	
vъnъ	slovene	vǝ̀n	ʋə̀rn	
moldьnъ	slovene	mládǝn	mlàːdən	
strьženь	slovene	stržę̑n	strʒéːn	
gvozdь	slovene	gòzd	ɡɔ́zd	
brъsnǫti	slovene	bŕsniti	bə̀rsniti	
ěrь	slovene	jȃr	jáːr	
čȋnъ	slovene	čȋn	t͡ʃíːn	
blě̑skъ	slovene	blẹ̑sk	bléːsk	
kolti	slovene	kláti	klàːti	
stydъ	slovene	stȋd	stíːt	
plěva	slovene	plẹ́va	plèːʋa	
dristati	slovene	drískati	drìːskati	
dъxъ	slovene	dàh	də́x	
netopyr'ь	slovene	netopír	nɛtɔpìːr	
tučьnъ	slovene	túčǝn	tùːt͡ʃ	
vȇrsъ	slovene	vrẹ̑s	ʋréːs	
želǫdъkъ	slovene	želǫ̑dǝc	ʒɛló̝ːdǝt͡s	
brȏdъ	slovene	brọ̑d	bróːt	
bliscati	slovene	blískati (se)	blìːskati sɛsɛ	
olni	slovene	láni	làːni	
elbǭtь	slovene	labǫ́d	labò̝ːt	
pęti	slovene	pę́ti	pòːti	
plesna	slovene	plésna	plɛ̀ːsna	
lě̑xà	slovene	lẹ́ha	lèːxa	
pàra	slovene	pȃra	páːra	
bolnь	slovene	blánja	blàːnja	
màti	slovene	máti	màːti	
àbolnь	slovene	jáblan	jàːblan	
kuka	slovene	kúka	kùːka	
kričati	slovene	kríčati	krìːt͡ʃati	
novákъ	slovene	novák	nɔʋàːk	
podòba	slovene	podǫ̑ba	pɔdɔba	
rodìti	slovene	rodíti	rɔdìːti	
rìnǫti	slovene	ríniti	rìːniti	
