dȏrgъ	bulgarian	drag	drak			
golota	bulgarian	golotá	ɡoloˈta			
mǭtìti	bulgarian	mắtja	ˈmɤtʲə			
globa	bulgarian	glóba	ˈɡlɔbə			
pra	bulgarian	pro-	prɔ			
bȁsn̨a	bulgarian	básnja	ˈbasnʲə			
bȏgъ	bulgarian	bog	bɔk			
čuditi sę	bulgarian	čúdja	ˈtʃudʲə			
korìti	bulgarian	korjá	koˈrʲɤ			
gràdъ	bulgarian	grad	ɡrat			
gluma	bulgarian	glúma	ˈɡlumə			
rekti	bulgarian	reká	rɛˈkɤ			
živòtъ	bulgarian	živót	ʒiˈvɔt̪			
ovьcà	bulgarian	ovcá	ofˈt͡sa			
osmъ	bulgarian	ósmi	ˈɔsmi			
mȍr̨e	bulgarian	moré	moˈrɛ			
kȏstь	bulgarian	kost	kɔst			
pȍjāsъ	bulgarian	pójas	ˈpɔjəs			
bl̨ьvàti	bulgarian	bắlvam	ˈbɤlvam			
tekti	bulgarian	teká	tɛˈkə			
plěsnь	bulgarian	plésen	ˈplɛsɛn			
sъporъ	bulgarian	spor	spor			
sǫ́dъ	bulgarian	săd	sɤt			
snъxà	bulgarian	snaxá	snɐˈxa			
blizna	bulgarian	blizná	blizˈna			
stàti	bulgarian	stána	ˈstanə			
lěpiti	bulgarian	lepjá	lɛˈpʲa			
sъ̏lnьce	bulgarian	slắnce	ˈslʲɤnt͡sɛ			
bobrъ	bulgarian	bóbăr	ˈbɔbər			
gǫ̀ba	bulgarian	gắba	ɡɐˈba			
vъnùkъ	bulgarian	vnuk	vnɔk			
niknǫti	bulgarian	níkna	ˈniknə			
kǫsati	bulgarian	kắsam	kusəm			
stьlati	bulgarian	stélja	ˈst̪ɛlʲə			
vertenò	bulgarian	vreténo	vrɛˈt̪ɛno̝			
čerdà	bulgarian	čerdá	tʃɛrˈd̪a			
lȏjь	bulgarian	loj	lɔj			
jьgrati	bulgarian	igrája	iˈɡrajə			
vě̀trъ	bulgarian	vjátăr	ˈvʲat̪ər			
sǫdì	bulgarian	sădijá	sɐdiˈja			
xȏldъ	bulgarian	xlad	xlat			
norvь	bulgarian	nrav	nraf			
grǫ̀da	bulgarian	grúda	ˈɡrud̪ə			
sòlma	bulgarian	sláma	ˈslamə			
orbòta	bulgarian	rábota	ˈrabo̝t̪ə			
zěnica	bulgarian	zeníca	zɛˈnit͡sə			
gribati	bulgarian	gríbam	ˈɡribəm			
znojь	bulgarian	znoj	znɔj			
blě̑skъ	bulgarian	bljásăk	ˈblʲasək			
rovъ	bulgarian	rov	rɔf			
grozdьje	bulgarian	grózde	ˈɡrɔzdɛ			
ezъ	bulgarian	jaz	ja			
volknò	bulgarian	vlaknó	vləˈknɔ			
gorà	bulgarian	gorá	ɡoˈra			
lisa	bulgarian	lísa	ˈlisə			
blǫ̑dъ	bulgarian	blud	blud			
lъža	bulgarian	lăžá	ˈlɤʒə			
moltiti	bulgarian	mlátja	ˈmɫatʲə			
bě̄dìti	bulgarian	bedjá	bɛˈdʲa			
elьxa	bulgarian	elxá	ɛlˈxa			
kruxъ	bulgarian	krux	krux			
gabati	bulgarian	gábam	ˈɡabəm			
vȋdъ	bulgarian	vid	vit			
ę̄drò	bulgarian	jedró	jɛdˈrɔ			
dě̀verь	bulgarian	déver	ˈdɛvɛr			
gǫgn̨ati	bulgarian	gắgna	ˈɡɤɡna			
moldъ	bulgarian	mlad	mlat			
ę̄trò	bulgarian	jatró	jɐˈtrɔ			
surovъ	bulgarian	suróv	soˈrɔv			
slȗxъ	bulgarian	slux	slu			
vedrъ	bulgarian	védăr	ˈvɛdər			
etì	bulgarian	jebá	jɛˈba			
vojьna	bulgarian	vojná	vɔjˈna			
ròjь	bulgarian	roj	rɔj			
veslò	bulgarian	vesló	vɛˈslɔ			
vьrtě̀ti	bulgarian	vărtjá	vɤrˈtʲa			
xlě̀bъ	bulgarian	xljab	xlʲab			
kỳla	bulgarian	kíla	ˈkiɫə			
klъkati	bulgarian	kắlcam	kɤlˈt͡ʃam			
blъxà	bulgarian	bălxá	bɐɫˈxa			
grudъ	bulgarian	grúda	ˈɡrud̪ə			
àblъka	bulgarian	jábălka	ˈjabəɫkə			
sỳtъjь	bulgarian	sit	sit			
ȅzero	bulgarian	ézero	ˈɛzɛro			
korica	bulgarian	koríca	koˈrit͡sə			
protivǫ	bulgarian	protív	proˈt̪if			
jьmę	bulgarian	imé	iˈmɛ			
negodovati	bulgarian	negodúvam	nɛɡoˈduvəm			
ȁsenъ	bulgarian	jásen	ˈjasɛn			
dьrpati	bulgarian	dắrpam	dɔrpam			
doltò	bulgarian	dlató	d̪lɐˈt̪ɔ			
velkti	bulgarian	vleká	vlɛˈka			
ěžь	bulgarian	jaz	ja			
tȗrъ	bulgarian	tur	tur			
pokòjь	bulgarian	pokój	poˈkɔj			
piskalъ	bulgarian	piskál	pisˈkaɫ			
kādìti	bulgarian	kadjá	kɐˈdʲa			
zidъ	bulgarian	zid	zit			
směxъ	bulgarian	smjax	smʲa			
mǫ̑žь	bulgarian	măž	mɤʒ			
tvь̑rdъ	bulgarian	tvărd	tvɤrd			
kl̨účь	bulgarian	ključ	ˈklʲu̟t͡ʃ			
plástъ	bulgarian	plast	plast			
grěti	bulgarian	gréja	ˈɡrɛjə			
kòrva	bulgarian	kráva	ˈkravə			
strigti	bulgarian	stríža	ˈstriʒə			
zmь̀jь	bulgarian	zmej	zmɛi			
xorna	bulgarian	xraná	xrəˈna			
stenàti	bulgarian	sténa	ˈst̪ɛnə			
pekti	bulgarian	peká	pɛˈkɤ			
stonъ	bulgarian	ston	ˌstɔn			
rìnǫti	bulgarian	rína	ˈrinə			
gonìti	bulgarian	gónja	ˈɡɔnʲə			
mamiti	bulgarian	mámja	ˈmamʲə			
ešče	bulgarian	ešte	ˈɛʃtɛ			
olьxa	bulgarian	elxá	ɛlˈa			
otrokъ	bulgarian	otrók	ot̪ˈrɔk			
sočìti	bulgarian	sočá	soˈtʃa			
kvě̑tъ	bulgarian	cvjat	t͡svʲat			
eto	bulgarian	éto	ˈɛto			
doba	bulgarian	dóba	ˈdɔbə			
čelověkъ	bulgarian	čelovék	tʃɛɫoˈvɛk			
sòmъ	bulgarian	som	ˈsɔm			
nȏsъ	bulgarian	nos	nɔs			
òrkъ	bulgarian	rak	rak			
domovъ	bulgarian	domoví	dɔmoˈvi			
dȅvętь	bulgarian	dévet	ˈdɛvɛt			
obьlъ	bulgarian	óbăl	ˈɔbəɫ			
kozà	bulgarian	kozá	koˈza			
blьskъ	bulgarian	blắsăk	ˈblʲɤsək			
pętъ	bulgarian	petí	pɛˈt̪i			
kosmъ	bulgarian	kósăm	ˈkɔsəm			
užasъ	bulgarian	úžas	ˈuʒəs			
sestrà	bulgarian	sestrá	sɛsˈtra			
