		pięść		pjej̃ɕt͡ɕ	
blьščati	polish	bɫyszczeć	ˈbwɨʂt͡ʂɛt͡ɕ		
xorbrъ	polish	chrobry	ˈxrɔbrɨ		
kasati	polish	kasać	ˈkasat͡ɕ		
kydnǫti	polish	kinąć	ˈkʲinɔɲt͡ɕ	ˈkʲinɔɲt͡ɕ	
blьknǫti	polish	blaknąć	ˈblaknɔɲt͡ɕ	ˈblaknɔɲt͡ɕ	
vьdovà	polish	wdowa	ˈvdɔva		
tъrgati	polish	targać	ˈtarɡat͡ɕ		
bebrъ	polish	bóbr	bupr		
groziti	polish	grozić	ˈɡrɔʑit͡ɕ		
orbòta	polish	robota	rɔˈbɔta		
òrkъ	polish	rak	rak		
esetь	polish	jesieć	ˈjɛɕɛt͡ɕ		
dòl̨a	polish	dola	ˈdɔla		
kъlъ	polish	kieɫ	kʲɛw		
vòn̨a	polish	woń	vɔɲ		
korenь	polish	korzeń	ˈkɔʐɛɲ		
čìstъ	polish	czysty	ˈt͡ʂɨstɨ		
lě̑xà	polish	lecha	ˈlɛxa		
golěnь	polish	goleń	ˈɡɔlɛɲ		
pàdati	polish	padać	ˈpadat͡ɕ		
górdja	polish	grodza	ˈɡrɔd͡za		
sъxnǫti	polish	schnąć	sxnɔɲt͡ɕ	ˈsxnɔɲt͡ɕ	
męzdra	polish	mięzdra	ˈmʲɛ̃zdra	ˈmʲɛw̃zdra	
stergti	polish	strzec	stʂɛt͡s		
sьršenь	polish	szerszeń	ˈʂɛrʂɛɲ		
oràti	polish	orati	ɔˈrati		
kolě̀no	polish	kolano	kɔˈlanɔ		
bìčь	polish	bicz	bʲit͡ʂ		
ūzdà	polish	uzda	ˈuzda		
tolkà	polish	tɫoka	ˈtwɔka		
orbiti	polish	robić	ˈrɔbʲit͡ɕ		
sīdlò	polish	sidɫo	ˈɕidwɔ		
veztì	polish	wieźć	vʲɛɕt͡ɕ		
novákъ	polish	nowak	ˈnɔvak		
dъnò	polish	dno	dnɔ		
gonìti	polish	gonić	ˈɡɔɲit͡ɕ		
droždžьje	polish	drożdże	ˈdrɔʐd͡ʐɛ		
dāvìti	polish	dawić	ˈdavʲit͡ɕ		
jьkro	polish	ikra	ˈikra		
svòrka	polish	sroka	ˈsrɔka		
orlьja	polish	rola	ˈrɔla		
obětjati	polish	obiecać	ɔˈbʲɛt͡sat͡ɕ		
sìto	polish	sito	ˈɕitɔ		
gъ̑rstь	polish	garść	ɡarɕt͡ɕ		
ęti	polish	jąć	jɔɲt͡ɕ	ˈjɔɲt͡ɕ	
věděti	polish	wiedzieć	ˈvʲɛd͡ʑɛt͡ɕ		
nȅbo	polish	niebo	ˈɲɛbɔ		
nȏsъ	polish	nos	nɔs		
otъvorìti	polish	otvoriti	ɔtfɔˈrʲiti		
kvě̑tъ	polish	kwiat	kfʲat		
piskorь	polish	piskorz	ˈpʲiskɔʂ		
jьmę	polish	imię	ˈimʲɛ	ˈimʲɛ	
glumъ	polish	gɫum	ɡwum		
goditi	polish	godzić	ˈɡɔd͡ʑit͡ɕ		
sỳtъ	polish	syty	ˈsɨtɨ		
ǫ̀zlъ	polish	węzeɫ	ˈvɛ̃zɛw	ˈvɛw̃zɛw	
perkъ	polish	przeko	ˈpʂɛkɔ		
ǫtrь	polish	wewnątrz	ˈvɛvnɔntʂ	ˈvɛvnɔntʂ	
pl̨ūtjè	polish	pɫuco	ˈpwut͡sɔ		
studìti	polish	studzić	ˈstud͡ʑit͡ɕ		
vědrò	polish	wiadro	ˈvʲadrɔ		
mě̀ra	polish	miara	ˈmʲara		
mьstiti	polish	mścić	mɕt͡ɕit͡ɕ		
elenъ	polish	jeleń	ˈjɛlɛɲ		
v̀ydra	polish	wydra	ˈvɨdra		
gatь	polish	gać	ɡat͡ɕ		
olьša	polish	olsza	ˈɔlʂa		
mękъkъ	polish	miękki	ˈmʲɛŋkkʲi	ˈmʲɛŋkkʲi	
pȍpelъ	polish	popióɫ	ˈpɔpʲuw		
čìstiti	polish	czyścić	ˈt͡ʂɨɕt͡ɕit͡ɕ		
pazduxa	polish	pazucha	paˈzuxa		
porà	polish	pora	ˈpɔra		
gluma	polish	gɫum	ɡwum		
lǭčìti	polish	ɫączyć	ˈwɔnt͡ʂɨt͡ɕ	ˈwɔnt͡ʂɨt͡ɕ	
gńìda	polish	gnida	ˈɡɲida		
mьlčàti	polish	milczeć	ˈmʲilt͡ʂɛt͡ɕ		
pāxàti	polish	pachać	ˈpaxat͡ɕ		
za	polish	za	za		
vòl̨a	polish	wola	ˈvɔla		
ěždžikъ	polish	jażdż	jaʂt͡ʂ		
seló	polish	sioɫo	ˈɕɔwɔ		
kъr̨ь	polish	kierz	kʲɛʂ		
dȏmъ	polish	dom	dɔm		
l̨ubo	polish	lub	lup		
krojiti	polish	kroić	ˈkrɔit͡ɕ		
vȇrsъ	polish	wrzos	vʐɔs		
perti	polish	przeć	pʂɛt͡ɕ		
zь̀rno	polish	ziarno	ˈʑarnɔ		
stojati	polish	stać	stat͡ɕ		
vȏlkъ	polish	wɫok	vwɔk		
ni	polish	ni	ɲi		
nekъto	polish	niekto	ˈɲɛktɔ		
ěža	polish	jaz	jas		
mělь	polish	miaɫ	mʲaw		
pьrěti	polish	przeć (się)	pʂɛt͡ɕ ˈsfʲɛ	pʂɛt͡ɕ ˈsfʲɛ	
gasnǫti	polish	gasnąć	ˈɡasnɔɲt͡ɕ		
lǭkà	polish	ɫąka	ˈwɔŋka	ˈwɔŋka	
blekota	polish	blekot	ˈblɛkɔt		
ob	polish	o	ɔ		
trǫdъ	polish	trąd	trɔnt	ˈtrɔnt	
piskalъ	polish	piskorz	ˈpʲiskɔʂ		
pь̑lstь	polish	pilść	pʲilɕt͡ɕ		
xromъ	polish	chromy	ˈxrɔmɨ		
kysati	polish	kisać	ˈkʲisat͡ɕ		
àblъkъ	polish	jabɫko	ˈjabwkɔ		
nuditi	polish	nudzić	ˈnud͡ʑit͡ɕ		
šȇstъ	polish	szósty	ˈʂustɨ		
pālìti	polish	palić	ˈpalʲit͡ɕ		
rě̄kà	polish	rzeka	ˈʐɛka		
nozdr̨a	polish	nozdrze	ˈnɔzdʐɛ		
porti	polish	próć	prut͡ɕ		
sadìti	polish	sadzić	ˈsad͡ʑit͡ɕ		
davьnъ	polish	dawny	ˈdavnɨ		
metàti	polish	miotać	ˈmʲɔtat͡ɕ		
edъvà	polish	ledwo	ˈlɛdvɔ		
slàva	polish	sɫawa	ˈswava		
čermъšь	polish	trzemcha	ˈtʂɛmxa		
ot	polish	od(e)	ˈɔdɛ		
pъtákъ	polish	ptak	ptak		
bȏgъ	polish	bóg	buk		
čьxati	polish	czchać	t͡ʂxat͡ɕ		
dǭgà	polish	dęga	ˈdɛŋɡa	ˈdɛŋɡa	
sъmè̌ti	polish	śmieć	ɕmʲɛt͡ɕ		
lisìca	polish	lisica	lʲiˈɕit͡sa		
lišiti	polish	liszyć	ˈlʲiʂɨt͡ɕ		
ščenę	polish	szczenię	ˈʂt͡ʂɛɲɛ	ˈʂt͡ʂɛɲɛ	
gȍr̨e	polish	gorze	ˈɡɔʐɛ		
ūstà	polish	usta	ˈusta		
àsъtrě̄bъ	polish	jastrząb	ˈjastʂɔmp	ˈjastʂɔmp	
dàti	polish	dać	dat͡ɕ		
mijati	polish	mijać	ˈmʲijat͡ɕ		
kȏlsъ	polish	kɫos	kwɔs		
slùšati	polish	sɫuszać	ˈswuʂat͡ɕ		
vozìti	polish	wozić	ˈvɔʑit͡ɕ		
děvìca	polish	dziewica	d͡ʑɛˈvʲit͡sa		
muzgъ	polish	muzga	ˈmuzɡa		
teplъ	polish	ciepɫy	ˈt͡ɕɛpwɨ		
děl̨a	polish	dla	dla		
lьnǫti	polish	lgnąć	lɡnɔɲt͡ɕ	ˈlɡnɔɲt͡ɕ	
oskъrdъ	polish	oskard	ˈɔskart		
gъrbъ	polish	garb	ɡarp		
korỳto	polish	koryto	kɔˈrɨtɔ		
lasъ	polish	ɫasy	ˈwasɨ		
skorà	polish	skóra	ˈskura		
degъtь	polish	dziegieć	ˈd͡ʑɛɡʲɛt͡ɕ		
divьnъ	polish	dziwny	ˈd͡ʑivnɨ		
