làska	slovak	láska	ˈɫaːska		
načęti	slovak	načať	ˈnat͡ʃac		
žìti	slovak	žiť	ˈʒic		
godьnъ	slovak	hodný	ˈɦɔdniː		
tъrgati	slovak	trhať	ˈtr̩ɦac		
trāvà	slovak	tráva	ˈtraːva		
želǫdъkъ	slovak	žalúdek	ˈʒaɫuːɟɛk		
mikati	slovak	mikať	ˈmikac		
bagno	slovak	bahno	ˈbaɦno		
mȏzgъ	slovak	mozog	ˈmɔzɔk		
bridъkъ	slovak	britký	ˈbritkiː		
mě̀riti	slovak	mieriť	ˈmi̯ɛric		
droždžьje	slovak	droždie	ˈdrɔʒɟi̯ɛ		
dȍma	slovak	doma	ˈdɔma		
drevě	slovak	driev	dri̯eu̯		
ȍlkъtъ	slovak	lakoť	ˈɫakɔc		
vь̑lkъ	slovak	vlk	ˈvɫ̩k		
koprъ	slovak	kôpor	ˈku̯opor		
xvorъ	slovak	chorý	ˈxɔriː		
soxà	slovak	socha	ˈsɔxa		
čel̨adь	slovak	čeľaď	ˈt͡ʃɛʎac		
dъždžь	slovak	dážď	daːʃc		
ȍlkъtь	slovak	lakoť	ˈɫakɔc		
čérdъ	slovak	čřieda	ˈt͡ʃri̯ɛda		
měšъkъ	slovak	mech	ˈmɛx		
neže	slovak	neže	ˈɲɛʒɛ		
moltiti	slovak	mlátiť	ˈmɫaːcic		
cělovàti	slovak	celovať	ˈt͡selovac		
bèrmę	slovak	bremä	ˈbrɛme		
rъvàti	slovak	rvať	ˈr̩vac		
svȏrbъ	slovak	svrab	ˈsvrap		
glìna	slovak	hlina	ɦlina		
ščítъ	slovak	štít	ʃtiːt		
telktì	slovak	tlcť	ˈtɫ̩t͡sc		
lǫ̑kъ	slovak	luk	ˈɫuk		
rȏdъ	slovak	rod	ˈrɔd		
pȏrxъ	slovak	prach	prax		
mъnogъ	slovak	mnohý	ˈmnɔɦiː		
àstrě̄bъ	slovak	jastrab	ˈjastrap		
sỳrъ	slovak	syr	ˈsir		
pь̀rstъ	slovak	prst	pr̩st		
blě̑skъ	slovak	blesk	ˈblɛsk		
korà	slovak	kôra	ku̯ora		
sȃdъ	slovak	sad	sad		
glògъ	slovak	hloh	ˈɦɫɔx		
dь̑nь	slovak	deň	ɟɛɲ		
orbòta	slovak	robota	ˈrɔbɔta		
vȇrskъ	slovak	vres	ˈvrɛs		
br̨ȗxъ	slovak	brucho	ˈbruxɔ		
bliskъ	slovak	blisk	ˈblisk		
dȗxъ	slovak	duch	ˈdux		
na	slovak	na	ˈna		
ǫ̑gъlъ	slovak	uhol	ˈuɦɔɫ		
pętъ	slovak	piaty	ˈpi̯ati		
pȗstъ	slovak	pustý	ˈpustiː		
sъn	slovak	s(e)	se		
tri	slovak	tri	ˈtri		
xvoja	slovak	chvoja	ˈxvɔja		
lě̀zti	slovak	liezť	ˈli̯ɛsc		
l̨ȗdьje	slovak	ľudia	ˈʎuɟi̯a		
kypě̀ti	slovak	kypieť	ˈkipi̯ɛc		
sъporъ	slovak	spor	ˈspɔr		
groziti	slovak	hroziť	ˈɦrɔzic		
kъr̨ь	slovak	ker	kɛr		
lěpiti	slovak	lepiť	ˈlɛpic		
pě́stъ	slovak	piest	pi̯est		
zmьjà	slovak	zmija	ˈzmija		
stьblò	slovak	steblo	ˈsteblo		
otvorìti	slovak	otvoriť	ˈɔtvɔric		
svьrběti	slovak	svrbieť	ˈsvr̩bi̯ɛc		
zȏrkъ	slovak	zrak	ˈzrak		
pekti	slovak	piecť	pi̯et͡sc		
činìti	slovak	činiť	ˈt͡ʃinic		
grozьnъ	slovak	hrozný	ˈɦrɔzniː		
bỳstrъ	slovak	bystrý	ˈbistriː		
svě̑tъ	slovak	svet	ˈsvɛt		
kokošь	slovak	kokoš	ˈkɔkɔʃ		
prȏstъ	slovak	prostý	ˈprɔstiː		
erębica	slovak	jarabica	ˈjarabit͡sa		
grebenь	slovak	hrebeň	ˈɦrɛbɛɲ		
krovъ	slovak	krov	ˈkrɔu̯		
dòrga	slovak	draha	ˈdraɦa		
dъ̑lgъ	slovak	dlh	dɫ̩x		
lъgati	slovak	luhať	ˈluɦac		
ūstà	slovak	ústa	ˈuːsta		
drъ̏vo	slovak	drvo	ˈdr̩vɔ		
mèčь	slovak	meč	ˈmɛt͡ʃ		
dobrъ	slovak	dobrý	ˈdɔbriː		
lazъ	slovak	lazy	ˈɫazi		
orbiti	slovak	robiť	ˈrobic		
òlčьnъ	slovak	lačný	ˈɫat͡ʃniː		
obьlъ	slovak	oblý	ˈɔbliː		
dě̀va	slovak	deva	ˈɟɛva		
proti	slovak	proti	ˈprɔci		
měniti	slovak	meniť sa	ˈmɛɲic sa		
čàsъ	slovak	čas	ˈt͡ʃas		
gorà	slovak	hora	ˈɦora		
kъ̀rpa	slovak	krpa	kr̩pa		
krǫtiti	slovak	krútiť	ˈkruːcic		
kòn̨ь	slovak	kôň	ku̯oɲ		
olbodà	slovak	loboda	ˈɫɔbɔda		
lǭčìti	slovak	lúčiť sa	ˈɫuːt͡ʃic sa		
dīvìti	slovak	diviť sa	ˈdivic		
otьcь	slovak	otec	ˈɔcɛt͡s		
kortъkъ	slovak	krátky	ˈkraːtki		
stàdo	slovak	stádo	ˈstaːdɔ		
volstь	slovak	vlasť	ˈʋɫasc		
pъlkъ	slovak	pluk	pluk		
ě̑rъ	slovak	jarý	ˈjariː		
pę̑tь	slovak	päť	ˈpɛc		
kvě̑tъ	slovak	kvet	ˈkvɛt		
borzdà	slovak	brázda	ˈbraːzda		
mȇdъ	slovak	med	ˈmɛt		
voliti	slovak	voliť	ˈvɔlic		
pьkъlo	slovak	peklo	ˈpɛkɫɔ		
ovь̀sъ	slovak	ovos	ˈɔvɔs		
gumьnò	slovak	humno	ˈɦumnɔ		
dāvìti	slovak	dáviť	ˈdaːvic		
grozà	slovak	hrôza	ˈɦru̯oza		
děliti	slovak	deliti	ˈdɛliti		
vȇrsъ	slovak	vres	ˈvrɛs		
kòrsta	slovak	chrasta	ˈxrasta		
ȍpakъ	slovak	opak	ˈɔpak		
čȇrpъ	slovak	črep	ˈt͡ʃrɛp		
grozdьnъ	slovak	hrozno	ˈɦrɔznɔ		
žę̄dàti	slovak	žiadať	ˈʒi̯adac		
krīdlò	slovak	krídlo	ˈkriːdɫɔ		
belená	slovak	blen	blen		
kòrva	slovak	krava	ˈkrava		
pręsti	slovak	priasť	ˈpri̯asc		
bez	slovak	bez	ˈbɛs		
velìkъ	slovak	veliký	ˈvɛlikiː		
orě̀xъ	slovak	orech	ˈɔrɛx		
brьvъnò	slovak	brvno	ˈbr̩vnɔ		
pь̑nь	slovak	peň	ˈpɛɲ		
òlkomъ	slovak	lakomý	ˈɫakɔmiː		
lomìti	slovak	lomiť	ˈlomic		
tȗrъ	slovak	tur	ˈtur		
mȋgъ	slovak	mih	mix		
bȏlь	slovak	bôľ	ˈbu̯ɔʎ		
gàdъ	slovak	had	ˈɦat		
lь̑nъ	slovak	ľan	ˈʎan		
blǫ̑dъ	slovak	blud	blud		
xȗdъ	slovak	chudý	ˈxudiː		
gъrkati	slovak	hrkať	ˈɦr̩kac		
teplъ	slovak	teplý	ˈcɛpliː		
kysьlъ	slovak	kyslý	ˈkisliː		
materьstvo	slovak	materstvo	ˈmatɛrstvɔ		
zьlčь	slovak	žlč	ʒl̩t͡ʃ		
govorъ	slovak	hovor	ˈɦɔvɔr		
strǫkъ	slovak	struk	ˈstruk		
gȏstь	slovak	hosť	ˈɦɔsc		
čàdja	slovak	čadza	ˈt͡ʃad͡za		
bry	slovak	brva	ˈbr̩va		
pȇlnъ	slovak	plen	ˈplɛn		
jьmela	slovak	jemelo	ˈjemelo		
kǫtja	slovak	kučka	ˈkut͡ʃka		
kòlъ	slovak	kôl	ku̯ol		
česàti	slovak	česať	ˈt͡ʃesac		
bě̄dìti	slovak	biedit́	ˈbi̯ɛtic		
sadìti	slovak	sadiť	ˈsaɟic		
kokotъ	slovak	kokot	ˈkɔkɔt		
košara	slovak	košiar	ˈkoʃi̯ar		
òdrъ	slovak	vôdor	ˈvu̯drɔr		
vòrna	slovak	vrana	ˈvrana		
drāžìti	slovak	drážiť	ˈdraːʒic		
pȍl̨e	slovak	pole	ˈpɔlɛ		
rosà	slovak	rosa	ˈrosa		
drozdъ	slovak	drozd	ˈdrɔst		
gnȏjь	slovak	hnoj	ˈɦnɔj		
belenъ	slovak	blen	blen		
bȏrvъ	slovak	brav	ˈbrau̯		
mȍr̨e	slovak	more	ˈmɔrɛ		
bỳti	slovak	byť	bic		
rìnǫti	slovak	rinúť se	ˈrinuːc sɛ		
dūrìti	slovak	duriť	ˈduric		
dǫ̑bъ	slovak	dub	ˈdup		
śěrъ	slovak	šerý	ˈʃɛriː		
pъtákъ	slovak	vták	ˈftaːk		
legti	slovak	ľäsť	ˈʎæsc		
vьčera	slovak	včera	ˈft͡ʃɛra		
vě̀trъ	slovak	vietor	ˈvi̯ɛtɔr		
ògn'ь	slovak	oheň	ˈɔɦɛɲ		
prosìti	slovak	prosiť	ˈprosic		
pluti	slovak	pluť	ˈpɫuc		
nǫkati	slovak	núkať	ˈnuːkac		
gńìda	slovak	hnida	ˈɦɲida		
dъxnǫti	slovak	dochnúť	ˈdɔxnuːc		
dę̀ga	slovak	ďah	ˈɟax		
drǫ́kъ	slovak	drúk	druːk		
pь̀lnъ	slovak	plný	pl̩niː		
tr̨ьje	slovak	tri	ˈtri		
studènъ	slovak	studený	ˈstuɟɛniː		
lěnìvъ	slovak	lenivý	ˈlɛniviː		
plàvati	slovak	plávať	ˈpɫaːvac		
nikati	slovak	nicať	ˈɲit͡sac		
dęgъ	slovak	ďah	ˈɟax		
gǫsti	slovak	húsť	ɦuːsc		
bliscati	slovak	blýskať	ˈbliːskac		
vьrěti	slovak	vrieť	ˈvri̯ɛc		
ȇdlь	slovak	jedľa	ˈjedʎa		
màlъ	slovak	malý	ˈmaliː		
močìti	slovak	močiť	ˈmɔt͡ʃic		
grъmъ	slovak	grmolec	ˈɡr̩mɔlɛt͡s		
jьmę	slovak	meno	ˈmɛnɔ		
sъtȏ	slovak	sto	ˈstɔ		
svinьjà	slovak	sviňa	ˈsviɲa		
pěsъ̀kъ	slovak	piesok	pi̯esok		
polxъ	slovak	poplach	ˈpɔpɫax		
tajìti	slovak	tajiť	ˈtajic		
sǫ-	slovak	sú-	ˈsuː		
lěnь	slovak	lieň	ˈli̯ɛɲ		
xȏldъ	slovak	hlad	ˈɦɫat		
ȏlsь	slovak	los	ˈɫɔs		
těsnъ	slovak	tesný	ˈcɛsniː		
ȍpako	slovak	opak	ˈɔpak		
sъ̏lnьce	slovak	slnce	ˈsɫ̩nt͡sɛ		
elьxa	slovak	jelcha	ˈjeloxa		
grǫdъ	slovak	hruda	ˈɦruda		
sỳpati	slovak	sypať	ˈsipac		
brodìti	slovak	brodiť (sa)	ˈbrɔɟic		
vę̀dnǫti	slovak	vädnúť	ˈvɛdnuːc		
grьměti	slovak	hrmieť	ˈɦr̩mi̯ɛc		
mimo	slovak	mimo	ˈmimɔ		
